Digit,Precision,Recall,F1-Score,Support
0,0.8338028169014085,0.9061224489795918,0.8684596577017115,980
1,0.8284982935153583,0.8555066079295154,0.8417858690940615,1135
2,0.8134020618556701,0.7645348837209303,0.7882117882117882,1032
3,0.7136563876651982,0.801980198019802,0.7552447552447552,1010
4,0.8348530901722391,0.8391038696537678,0.8369730827831386,982
5,0.7081339712918661,0.4977578475336323,0.5845951283739302,892
6,0.8787255909558068,0.8924843423799582,0.8855515277058519,958
7,0.8674579624134521,0.853112840466926,0.8602256007846983,1028
8,0.6829765545361876,0.6878850102669405,0.6854219948849105,974
9,0.8118628359592215,0.8681863230921705,0.8390804597701149,1009
