True_Label,Predicted_Label,Count,Percentage_of_True_Class
2,8,40,3.875968992248062
5,8,36,4.0358744394618835
4,9,34,3.462321792260693
7,9,29,2.821011673151751
3,5,28,2.7722772277227725
5,3,28,3.1390134529147984
8,5,25,2.5667351129363447
3,8,23,2.277227722772277
7,2,23,2.237354085603113
9,4,22,2.180376610505451
8,3,21,2.1560574948665296
9,7,20,1.9821605550049552
3,2,17,1.6831683168316833
2,3,16,1.550387596899225
5,6,13,1.4573991031390134
1,8,12,1.0572687224669604
4,6,12,1.2219959266802443
6,0,12,1.2526096033402923
6,5,12,1.2526096033402923
2,6,11,1.065891472868217
